repo_name,created_at,age,pull_requests,releases,updated_at,language,open_issues,closed_issues,closed_issues_percent
Semantic-UI,2013-04-08T23:32:04Z,11,0,0,2024-08-25T06:16:48Z,JavaScript,1075,0,0.0
ionic-framework,2013-08-20T23:06:02Z,11,0,0,2024-08-25T17:42:52Z,TypeScript,435,0,0.0
material-design-icons,2014-10-08T18:01:28Z,10,0,0,2024-08-25T21:38:24Z,,319,0,0.0
faceswap,2017-12-19T09:44:13Z,7,0,0,2024-08-25T21:33:56Z,Python,23,0,0.0
tldr,2013-12-08T07:34:43Z,11,0,0,2024-08-25T20:59:33Z,Markdown,177,0,0.0
ghidra,2019-03-01T03:27:48Z,5,0,0,2024-08-25T21:56:07Z,Java,1624,0,0.0
awesome-android-ui,2014-12-24T01:45:03Z,10,0,0,2024-08-25T19:12:38Z,,30,0,0.0
leetcode-master,2019-12-14T12:05:42Z,5,0,0,2024-08-25T19:11:02Z,Shell,187,0,0.0
guava,2014-05-29T16:23:17Z,10,0,0,2024-08-25T20:10:15Z,Java,711,0,0.0
you-get,2012-08-20T15:53:36Z,12,0,0,2024-08-25T17:27:32Z,Python,375,0,0.0
lazygit,2018-05-19T00:53:06Z,6,0,0,2024-08-25T21:59:18Z,Go,709,0,0.0
